순위,곡제목,가수명,앨범명
<<45위>>,Candy,NCT DREAM,Candy - Winter Special Mini Album
<<46위>>,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
<<47위>>,Allergy,(여자)아이들,I feel
<<48위>>,STAY,The Kid LAROI,Stay
<<49위>>,취중고백,김민석 (멜로망스),취중고백
<<50위>>,첫 키스에 내 심장은 120BPM,경서,ONGOING
<<51위>>,사실말야내가말야그게그러니까말이야,케이시 (Kassy),사실말야내가말야그게그러니까말이야
<<52위>>,해요 (2022),#안녕,해요 (2022)
<<53위>>,우리들의 블루스,임영웅,IM HERO
<<54위>>,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),Golden Hourglass
<<55위>>,사랑의 바보,제이세라,사랑의 바보
<<56위>>,Heaven(2023),임재현,시작은 첫키스 OST Part.1
<<57위>>,TOMBOY,(여자)아이들,I NEVER DIE
<<58위>>,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
<<59위>>,That's Hilarious,Charlie Puth,CHARLIE
<<60위>>,Butter,방탄소년단,Butter
<<61위>>,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
<<62위>>,Monologue,테이,Monologue
<<63위>>,Nxde,(여자)아이들,I love
<<64위>>,봄날,방탄소년단,YOU NEVER WALK ALONE
<<65위>>,Broken Melodies,NCT DREAM,ISTJ - The 3rd Album
<<66위>>,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
<<67위>>,Take Two,방탄소년단,Take Two
<<68위>>,In Bloom,ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
<<69위>>,NIGHT DANCER,imase,NIGHT DANCER
<<70위>>,다시 만날 수 있을까,임영웅,IM HERO
<<71위>>,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
<<72위>>,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
<<73위>>,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
<<74위>>,Permission to Dance,방탄소년단,Butter / Permission to Dance
<<75위>>,Fast Forward,전소미,GAME PLAN
<<76위>>,민들레 (single ver.),우효,민들레
<<77위>>,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
<<78위>>,Thirsty,aespa,MY WORLD - The 3rd Mini Album
<<79위>>,Get Up,NewJeans,NewJeans 2nd EP 'Get Up'
<<80위>>,Like Crazy,지민,FACE
<<81위>>,Love Me Again,V,Layover
<<82위>>,무지개,임영웅,IM HERO
<<83위>>,CAKE,ITZY (있지),KILL MY DOUBT
<<84위>>,KNOCK,이채연,Over The Moon
<<85위>>,The Planet,방탄소년단,The Planet
<<86위>>,주저하는 연인들을 위해,잔나비,전설
<<87위>>,London Boy,임영웅,Polaroid
<<88위>>,아버지,임영웅,IM HERO
<<89위>>,Cream Soda,EXO,EXIST - The 7th Album
<<90위>>,그라데이션,10CM,5.3
<<91위>>,내가 아니라도,주호,내가 아니라도
<<92위>>,Polaroid,임영웅,Polaroid
<<93위>>,찬란한 하루,멜로망스,찬란한 하루
<<94위>>,ELEVEN,IVE (아이브),ELEVEN
<<95위>>,on the street (with J. Cole),j-hope,on the street (with J. Cole)
<<96위>>,I WANT,IVE (아이브),I WANT
<<97위>>,파랑 (Blue Wave),NCT DREAM,ISTJ - The 3rd Album
<<98위>>,인생찬가,임영웅,IM HERO
<<99위>>,Shut Down,BLACKPINK,BORN PINK
<<100위>>,겁도 없이 (feat. BIG Naughty),B.I,TO DIE FOR
