N,종목명,현재가,전일비,등락률,액면가,PER,ROE,PBR,유보율
85.0,현대건설,36100.0,500.0,+1.40%,5000.0,10.25,5.49,0.52,1264.0
86.0,SKC,103700.0,6700.0,+6.91%,5000.0,-18.41,-3.67,2.13,958.8
87.0,현대미포조선,94200.0,1300.0,+1.40%,5000.0,-478.17,-2.07,1.76,842.2
88.0,LS,116500.0,3400.0,+3.01%,5000.0,9.11,12.0,0.8,2440.4
89.0,현대차2우B,102000.0,0.0,0.00%,5000.0,3.1,,0.31,
90.0,GS,38750.0,50.0,-0.13%,5000.0,1.93,18.86,0.29,3129.1
91.0,금호석유,122700.0,200.0,+0.16%,5000.0,5.13,19.11,0.59,3322.5
92.0,강원랜드,16410.0,270.0,-1.62%,500.0,15.75,3.47,0.97,3255.6
93.0,KODEX KOFR금리액티브(합성),103885.0,25.0,+0.02%,0.0,,,,
94.0,호텔신라,89200.0,2400.0,+2.76%,5000.0,332.84,-8.99,5.7,219.4
95.0,NH투자증권,10400.0,130.0,+1.27%,5000.0,9.46,4.32,0.5,306.3
96.0,삼성카드,29350.0,300.0,+1.03%,5000.0,5.6,8.08,0.41,1249.0
97.0,현대로템,30250.0,1300.0,+4.49%,5000.0,16.32,14.06,2.14,126.0
98.0,한진칼,48950.0,300.0,-0.61%,2500.0,5.19,33.64,1.31,948.6
99.0,삼성증권,36400.0,550.0,+1.53%,5000.0,6.21,6.88,0.51,1251.4
100.0,코웨이,42050.0,550.0,+1.33%,500.0,6.92,21.72,1.29,5679.5
101.0,LS ELECTRIC,100300.0,1200.0,+1.21%,5000.0,27.99,5.95,1.86,953.1
102.0,씨에스윈드,69000.0,400.0,+0.58%,500.0,242.96,-0.11,3.2,4025.0
103.0,한국금융지주,52200.0,300.0,+0.58%,5000.0,5.09,8.45,0.38,2418.8
104.0,BGF리테일,167400.0,2600.0,-1.53%,1000.0,14.82,21.85,3.15,5332.9
105.0,KODEX 종합채권(AA-이상)액티브,104760.0,145.0,-0.14%,0.0,,,,
106.0,농심,459000.0,45500.0,+11.00%,5000.0,20.31,5.17,1.12,7625.7
107.0,현대해상,30900.0,650.0,+2.15%,500.0,4.24,12.44,0.31,9506.0
108.0,LG화학우,358500.0,9000.0,-2.45%,5000.0,17.2,,0.89,
109.0,아모레G,33300.0,1500.0,-4.31%,500.0,50.15,1.87,0.89,7234.6
110.0,한미사이언스,39100.0,1400.0,-3.46%,500.0,34.63,9.78,3.57,2248.9
111.0,한화시스템,14440.0,270.0,+1.91%,5000.0,27.77,-3.63,1.27,127.3
112.0,롯데지주,26000.0,200.0,-0.76%,200.0,22.77,2.42,0.26,44815.3
113.0,TIGER 차이나전기차SOLACTIVE,10155.0,120.0,-1.17%,0.0,,,,
114.0,한전기술,71000.0,1000.0,+1.43%,200.0,95.3,3.4,5.07,7148.9
115.0,영원무역,60600.0,100.0,+0.17%,500.0,3.78,26.8,0.88,12069.7
116.0,HD현대일렉트릭,74000.0,2100.0,+2.92%,5000.0,14.45,22.13,3.17,318.3
117.0,쌍용C&E,5270.0,160.0,-2.95%,100.0,22.62,7.87,1.75,3199.0
118.0,롯데에너지머티리얼즈,57500.0,3400.0,+6.28%,500.0,-250.0,3.58,1.81,6219.9
119.0,팬오션,4805.0,20.0,+0.42%,1000.0,4.09,16.74,0.55,639.2
120.0,키움증권,97700.0,500.0,+0.51%,5000.0,4.31,11.5,0.57,3147.7
121.0,GS리테일,24350.0,150.0,-0.61%,1000.0,53.52,1.0,0.62,3837.1
122.0,TIGER 200,34055.0,70.0,-0.21%,0.0,,,,
123.0,휠라홀딩스,40050.0,500.0,-1.23%,1000.0,7.38,19.71,1.23,2786.8
124.0,현대차우,100900.0,400.0,-0.39%,5000.0,3.07,,0.31,
125.0,TIGER 미국나스닥100,89545.0,350.0,+0.39%,0.0,,,,
126.0,DB하이텍,54200.0,800.0,-1.45%,5000.0,5.06,40.73,1.42,671.3
127.0,한국가스공사,25900.0,500.0,-1.89%,5000.0,2.68,15.67,0.21,2057.0
128.0,CJ,76500.0,1900.0,-2.42%,5000.0,20.92,3.94,0.49,2767.8
129.0,이마트,79800.0,2700.0,-3.27%,5000.0,9.7,9.59,0.19,7151.7
130.0,제일기획,19190.0,20.0,-0.10%,200.0,11.71,16.64,1.67,6799.9
131.0,한화,29300.0,300.0,+1.03%,5000.0,1.73,24.47,0.26,1563.0
132.0,BNK금융지주,6610.0,50.0,-0.75%,5000.0,2.72,8.43,0.22,565.1
133.0,영풍제지,46000.0,3700.0,-7.44%,500.0,793.1,5.91,16.34,1178.1
134.0,HD현대인프라코어,10700.0,50.0,+0.47%,1000.0,7.9,15.29,1.23,1396.6
135.0,에스원,55300.0,0.0,0.00%,500.0,13.38,10.19,1.26,8703.7
136.0,롯데쇼핑,74200.0,2600.0,-3.39%,5000.0,-6.63,-3.3,0.22,8636.3
137.0,한화생명,2400.0,5.0,-0.21%,5000.0,1.87,9.05,0.13,105.8
138.0,한솔케미칼,183000.0,200.0,-0.11%,5000.0,14.58,21.36,2.57,1353.6
139.0,HL만도,44050.0,1550.0,+3.65%,1000.0,19.19,4.78,0.92,3590.0
140.0,KODEX 23-12 은행채(AA+이상)액티브,10375.0,0.0,0.00%,0.0,,,,
141.0,효성첨단소재,454000.0,1500.0,+0.33%,5000.0,19.88,19.11,2.94,2768.8
142.0,이수페타시스,32100.0,1350.0,+4.39%,1000.0,19.51,58.92,8.75,249.1
143.0,신세계,206000.0,5000.0,-2.37%,5000.0,5.18,10.34,0.48,7886.0
144.0,KODEX 200TR,11615.0,20.0,-0.17%,0.0,,,,
145.0,TIGER 미국S&P500,14800.0,55.0,+0.37%,0.0,,,,
146.0,KODEX 레버리지,16810.0,105.0,-0.62%,0.0,,,,
147.0,대우건설,4660.0,25.0,-0.53%,5000.0,4.53,14.55,0.5,98.3
148.0,동원산업,38400.0,650.0,-1.66%,1000.0,6.14,8.53,0.54,7064.2
149.0,KCC,215500.0,3000.0,+1.41%,5000.0,54.06,0.67,0.31,11129.0
150.0,CJ대한통운,83000.0,2500.0,+3.11%,5000.0,9.51,5.09,0.45,2849.0
151.0,동서,18420.0,20.0,+0.11%,500.0,10.69,11.33,1.21,2891.8
152.0,현대엘리베이,45350.0,700.0,-1.52%,5000.0,6.12,6.89,1.32,454.7
153.0,두산,106900.0,1800.0,+1.71%,5000.0,-3.17,-36.0,1.08,1837.8
154.0,KODEX 200선물인버스2X,2540.0,15.0,+0.59%,0.0,,,,
155.0,OCI홀딩스,106300.0,300.0,-0.28%,5000.0,2.64,25.21,0.85,2930.8
156.0,효성중공업,186800.0,0.0,0.00%,5000.0,107.98,1.07,1.82,2062.0
157.0,두산퓨얼셀,26300.0,150.0,-0.57%,100.0,248.11,0.74,4.1,6290.1
158.0,JB금융지주,8740.0,80.0,+0.92%,5000.0,2.88,13.76,0.36,385.1
159.0,LIG넥스원,78100.0,3300.0,+4.41%,5000.0,12.19,14.48,1.77,638.8
160.0,대한전선,13500.0,390.0,+2.97%,1000.0,82.82,3.32,1.89,806.8
161.0,에스엘,35150.0,950.0,+2.78%,500.0,8.02,9.87,0.95,7037.9
162.0,현대위아,60000.0,1200.0,+2.04%,5000.0,28.18,1.99,0.48,2360.1
163.0,코스모화학,46450.0,550.0,-1.17%,1000.0,2019.57,6.13,7.79,212.2
164.0,KG모빌리티,8670.0,210.0,+2.48%,5000.0,-71.07,-12.1,1.44,-5.0
165.0,TIGER 미국테크TOP10 INDXX,13665.0,35.0,+0.26%,0.0,,,,
166.0,롯데정밀화학,61800.0,800.0,+1.31%,5000.0,5.28,6.51,0.66,1700.5
167.0,TIGER 미국필라델피아반도체나스닥,12720.0,10.0,-0.08%,0.0,,,,
168.0,덴티움,141400.0,4000.0,-2.75%,500.0,17.64,25.86,3.09,6155.6
169.0,에스디바이오센서,12560.0,530.0,-4.05%,500.0,6.08,35.3,0.46,5746.1
170.0,현대백화점,66600.0,1400.0,+2.15%,5000.0,11.28,3.2,0.31,3966.9
171.0,LX세미콘,94600.0,500.0,+0.53%,500.0,8.94,26.7,1.68,11596.1
172.0,SK네트웍스,6490.0,190.0,+3.02%,2500.0,25.86,3.88,0.63,265.8
173.0,한전KPS,33950.0,450.0,+1.34%,200.0,12.19,8.61,1.29,13415.7
174.0,오뚜기,379500.0,4500.0,+1.20%,5000.0,5.6,16.53,0.71,10616.7
175.0,코스맥스,133100.0,9300.0,+7.51%,500.0,123.13,3.65,2.43,9768.0
176.0,코오롱인더,54700.0,800.0,+1.48%,5000.0,13.81,7.13,0.64,1661.5
177.0,삼아알미늄,102000.0,1300.0,-1.26%,500.0,81.6,13.24,5.89,2408.0
178.0,HD현대건설기계,74900.0,400.0,+0.54%,5000.0,11.22,7.99,0.9,1326.0
179.0,TIGER KOFR금리액티브(합성),102465.0,30.0,+0.03%,0.0,,,,
180.0,효성티앤씨,340500.0,1500.0,+0.44%,5000.0,-58.67,0.88,1.18,5470.5
181.0,하이트진로,20700.0,250.0,+1.22%,5000.0,20.52,7.72,1.29,240.2
182.0,솔루엠,29000.0,700.0,+2.47%,500.0,13.48,16.93,3.81,1172.1
183.0,대덕전자,28900.0,450.0,-1.53%,500.0,9.38,23.94,1.76,3215.6
184.0,녹십자,121200.0,1300.0,-1.06%,5000.0,38.68,5.03,1.07,2219.6
185.0,LX인터내셔널,36050.0,550.0,+1.55%,5000.0,2.87,25.53,0.55,1066.5
186.0,한샘,59300.0,4500.0,+8.21%,1000.0,-13.49,-13.37,2.1,3073.1
187.0,TIGER 2차전지테마,34420.0,495.0,-1.42%,0.0,,,,
188.0,TCC스틸,51500.0,1600.0,-3.01%,1000.0,225.88,16.54,6.48,631.3
189.0,KODEX 단기채권PLUS,107440.0,25.0,+0.02%,0.0,,,,
190.0,효성,63500.0,700.0,+1.11%,5000.0,-41.94,0.6,0.51,6994.4
191.0,한국콜마,56800.0,2000.0,+3.65%,500.0,-49.65,-3.26,1.98,5665.4
192.0,대웅제약,110700.0,1200.0,-1.07%,2500.0,29.13,7.17,1.92,2160.7
193.0,KBSTAR 200,34225.0,55.0,-0.16%,0.0,,,,
194.0,한올바이오파마,24250.0,250.0,-1.02%,500.0,-1347.22,0.15,7.41,544.5
195.0,롯데칠성,136000.0,0.0,0.00%,500.0,11.25,9.11,0.98,43101.2
196.0,솔루스첨단소재,35650.0,2250.0,+6.74%,100.0,-71.3,-2.68,2.92,11285.6
197.0,DGB금융지주,7360.0,0.0,0.00%,5000.0,3.06,7.38,0.22,634.3
198.0,금호타이어,4330.0,20.0,+0.46%,5000.0,-21.44,-6.87,1.07,-27.1
199.0,이수스페셜티케미컬,222000.0,14500.0,+6.99%,5000.0,,,,
200.0,KODEX 코스닥150선물인버스,3560.0,35.0,+0.99%,0.0,,,,
201.0,GS건설,14320.0,130.0,+0.92%,5000.0,3.68,7.18,0.25,1075.6
202.0,DL이앤씨,31400.0,600.0,+1.95%,5000.0,3.35,9.7,0.3,2027.9
203.0,KODEX 2차전지산업,30115.0,315.0,-1.04%,0.0,,,,
204.0,후성,12340.0,20.0,+0.16%,500.0,19.65,31.6,3.21,669.0
205.0,KODEX 삼성그룹,9365.0,20.0,+0.21%,0.0,,,,
206.0,SK가스,125300.0,900.0,+0.72%,5000.0,4.28,11.53,0.46,4995.9
207.0,SK케미칼,66200.0,300.0,+0.46%,5000.0,7.61,9.11,0.59,2092.9
208.0,SK오션플랜트,21450.0,250.0,+1.18%,500.0,29.5,6.73,2.11,1703.2
209.0,명신산업,20850.0,1820.0,+9.56%,500.0,10.25,25.18,2.56,1428.8
210.0,한국앤컴퍼니,11510.0,150.0,+1.32%,500.0,6.99,4.37,0.28,8071.9
211.0,TIGER MSCI Korea TR,14500.0,70.0,-0.48%,0.0,,,,
212.0,TIGER TOP10,11435.0,115.0,-1.00%,0.0,,,,
213.0,종근당,86000.0,500.0,+0.58%,2500.0,10.88,13.62,1.63,2139.8
214.0,해성디에스,63400.0,800.0,-1.25%,5000.0,7.34,42.99,2.35,426.2
215.0,영원무역홀딩스,78800.0,1300.0,+1.68%,500.0,2.29,23.98,0.41,27827.1
216.0,동원시스템즈,37050.0,50.0,+0.14%,5000.0,15.25,10.4,1.49,288.1
217.0,영풍,579000.0,2000.0,-0.34%,5000.0,3.41,9.96,0.25,42518.4
218.0,KBSTAR 종합채권(A-이상)액티브,97025.0,210.0,-0.22%,0.0,,,,
219.0,삼양식품,136100.0,10600.0,+8.45%,5000.0,12.34,18.92,2.15,1117.0
220.0,제주항공,13270.0,220.0,-1.63%,1000.0,-14.5,-70.86,2.9,101.4
221.0,신풍제약,19100.0,300.0,-1.55%,500.0,-28.42,-10.27,3.03,1193.9
222.0,코리안리,7170.0,180.0,+2.58%,500.0,4.38,5.91,0.29,4094.7
223.0,TIGER 단기통안채,104220.0,30.0,+0.03%,0.0,,,,
224.0,풍산,35450.0,150.0,+0.42%,5000.0,5.34,9.94,0.51,1205.8
225.0,GKL,16060.0,160.0,+1.01%,500.0,102.95,-5.94,2.46,1136.6
226.0,아이에스동서,32100.0,0.0,0.00%,500.0,3.92,14.84,0.63,8962.0
227.0,롯데렌탈,27000.0,300.0,+1.12%,5000.0,10.0,7.48,0.76,612.0
228.0,롯데웰푸드,104800.0,1900.0,+1.85%,500.0,17.72,2.89,0.46,34535.4
229.0,JW중외제약,43150.0,1500.0,+3.60%,2500.0,27.71,14.45,4.2,325.6
230.0,더존비즈온,31900.0,350.0,+1.11%,500.0,45.83,5.15,2.23,3139.8
231.0,OCI,129500.0,500.0,-0.38%,5000.0,,,,
232.0,오리온홀딩스,15250.0,250.0,+1.67%,500.0,9.24,4.83,0.42,7310.4
233.0,롯데관광개발,12850.0,500.0,-3.75%,500.0,-3.45,-154.22,6.11,-458.0
234.0,일진하이솔루스,25750.0,300.0,+1.18%,500.0,100.98,2.27,2.94,1633.4
235.0,KODEX CD금리액티브(합성),1007840.0,195.0,+0.02%,0.0,,,,
236.0,DN오토모티브,91900.0,1500.0,+1.66%,500.0,4.07,22.81,0.83,23085.5
237.0,TKG휴켐스,22450.0,50.0,+0.22%,1000.0,9.18,11.37,1.15,1868.8
238.0,NHN,26000.0,450.0,-1.70%,500.0,-155.69,-1.82,0.52,9640.2
239.0,PI첨단소재,30350.0,750.0,+2.53%,500.0,34.53,13.7,2.87,2757.3
240.0,아시아나항공,11890.0,310.0,-2.54%,5000.0,15.81,18.48,1.46,82.2
241.0,세아베스틸지주,24100.0,0.0,0.00%,5000.0,7.6,4.91,0.45,695.0
242.0,대한유화,132500.0,500.0,-0.38%,5000.0,-5.09,-7.66,0.45,4451.5
243.0,드림텍,12900.0,90.0,+0.70%,100.0,23.16,17.24,2.12,5727.5
244.0,한일시멘트,12350.0,90.0,+0.73%,500.0,8.1,5.59,0.6,4070.7
245.0,DL,40700.0,500.0,+1.24%,5000.0,-16.84,1.87,0.23,5237.9
246.0,하나투어,53000.0,200.0,+0.38%,500.0,-25.67,-64.01,6.27,1824.8
247.0,SK리츠,4320.0,120.0,+2.86%,500.0,240.0,0.42,0.88,877.0
248.0,대웅,14520.0,100.0,-0.68%,500.0,7.18,13.17,0.71,3036.6
249.0,경동나비엔,57400.0,1400.0,+2.50%,1000.0,12.78,11.07,1.53,3878.5
250.0,KODEX 코스닥150레버리지,13090.0,265.0,-1.98%,0.0,,,,
251.0,이노션,41550.0,750.0,+1.84%,500.0,10.76,8.46,0.98,8810.6
252.0,롯데리츠,3420.0,5.0,-0.15%,500.0,29.74,1.25,0.77,811.8
253.0,비에이치,24100.0,1700.0,+7.59%,500.0,5.92,29.71,1.3,3358.1
254.0,KG스틸,8280.0,30.0,-0.36%,5000.0,1.59,37.73,0.48,203.8
255.0,TIGER 200 IT,31335.0,130.0,-0.41%,0.0,,,,
256.0,ESR켄달스퀘어리츠,3870.0,60.0,+1.57%,1000.0,18.52,1.39,0.74,432.5
257.0,율촌화학,33200.0,300.0,+0.91%,500.0,-364.84,-1.22,2.52,2156.0
258.0,LG전자우,47350.0,900.0,+1.94%,5000.0,19.41,,0.43,
259.0,한세실업,20300.0,250.0,+1.25%,500.0,10.37,17.1,1.45,2731.7
260.0,애경케미칼,16610.0,10.0,+0.06%,500.0,14.42,8.47,1.11,2896.4
261.0,다우기술,17990.0,80.0,+0.45%,500.0,1.85,17.36,0.32,10358.9
262.0,더블유게임즈,44200.0,1350.0,+3.15%,500.0,-6.83,-16.82,0.95,7593.4
263.0,KODEX 단기채권,106745.0,15.0,+0.01%,0.0,,,,
264.0,세아제강지주,193100.0,5100.0,-2.57%,5000.0,2.42,20.56,0.48,6539.4
265.0,HSD엔진,11050.0,160.0,-1.43%,1000.0,-24.72,-18.7,3.47,176.0
266.0,진에어,15110.0,100.0,-0.66%,1000.0,18.98,-35.07,4.74,11.0
267.0,미원상사,162100.0,1900.0,-1.16%,500.0,11.51,22.64,2.24,5007.9
268.0,넥센타이어,8040.0,50.0,+0.63%,500.0,89.33,-1.74,0.51,2757.8
269.0,프레스티지바이오파마,12680.0,30.0,-0.24%,0.0,-10.17,-32.84,1.67,-29.7
270.0,SK디스커버리,39600.0,200.0,+0.51%,5000.0,1.98,16.34,0.27,3432.8
271.0,KODEX 인버스,4525.0,15.0,+0.33%,0.0,,,,
272.0,제이알글로벌리츠,3800.0,30.0,-0.78%,1000.0,18.54,2.04,0.84,362.2
273.0,KBSTAR 머니마켓액티브,50550.0,10.0,+0.02%,0.0,,,,
274.0,F&F홀딩스,18610.0,650.0,-3.37%,500.0,5.19,6.64,0.35,21141.3
275.0,대신증권,13990.0,140.0,+1.01%,5000.0,12.14,4.38,0.35,585.0
276.0,KODEX 자동차,18645.0,350.0,+1.91%,0.0,,,,
277.0,TIGER 2차전지소재Fn,11100.0,240.0,-2.12%,0.0,,,,
278.0,녹십자홀딩스,14730.0,70.0,-0.47%,500.0,80.05,3.18,0.66,3800.8
279.0,SNT모티브,47350.0,850.0,+1.83%,5000.0,7.32,10.08,0.7,1146.7
280.0,태광산업,620000.0,11000.0,+1.81%,5000.0,2.06,8.52,0.13,74365.8
281.0,미원에스씨,136500.0,4700.0,-3.33%,500.0,13.38,18.38,1.81,14839.8
282.0,삼부토건,3340.0,10.0,+0.30%,1000.0,-8.52,-35.88,3.4,4.5
283.0,HDC현대산업개발,10310.0,70.0,+0.68%,5000.0,4.08,1.75,0.23,782.5
284.0,세방전지,48300.0,200.0,-0.41%,500.0,16.32,3.58,0.52,17611.3
285.0,미래에셋생명,3765.0,65.0,+1.76%,5000.0,5.24,3.56,0.17,71.5
286.0,KCC글라스,40850.0,100.0,+0.25%,1000.0,7.63,6.64,0.45,8952.0
287.0,애경산업,24450.0,550.0,+2.30%,1000.0,24.26,4.7,1.75,1293.5
288.0,ARIRANG 200,34575.0,60.0,-0.17%,0.0,,,,
289.0,NICE평가정보,10440.0,210.0,-1.97%,500.0,12.44,16.39,1.88,1053.4
290.0,한국카본,14370.0,700.0,-4.64%,500.0,41.53,5.11,1.55,1773.2
291.0,에이프로젠,2480.0,205.0,+9.01%,500.0,-4.06,-90.82,3.28,109.3
292.0,보령,9120.0,70.0,-0.76%,500.0,14.9,8.47,1.15,1467.2
293.0,KOSEF 국고채10년,109100.0,295.0,-0.27%,0.0,,,,
294.0,서연이화,22950.0,1700.0,+8.00%,500.0,7.68,8.03,0.79,4874.1
295.0,대상,17900.0,30.0,+0.17%,1000.0,9.58,6.57,0.49,3669.1
296.0,신세계인터내셔날,17360.0,820.0,-4.51%,1000.0,6.17,15.29,0.75,2222.4
297.0,우리종금,707.0,0.0,0.00%,500.0,7.77,14.4,0.93,54.4
298.0,자화전자,28000.0,900.0,+3.32%,500.0,-9.77,-11.9,1.58,3252.9
299.0,삼성 레버리지 WTI원유 선물 ETN,1525.0,55.0,-3.48%,0.0,,,,
